Dive Site ID,Dive Site Name,Distance,Lat,Lng,Record #
21199,Hyde,2.11,33.95045,-77.593025,561
23528,Playa - Dredge Wreck Playa,2.35,33.955172,-77.65025,562
21199,Hyde,2.46,33.962672,-77.599694,563
22087,Porta Allegra - (Lobster Wreck),8.59,33.966839,-77.02883100000003,565
23528,Playa - Dredge Wreck Playa,0.38,33.977117,-77.686086,567
22087,Porta Allegra - (Lobster Wreck),9.13,33.983506,-76.999664,568
22075,Yancey (AR-302),6.96,34.000181,-75.99961400000002,570
24607,Naeco,0.0,34.02535,-76.647944,571
22075,Yancey (AR-302),7.97,34.135175,-76.116286,573
22080,Papoose,0.03,34.143522,-76.652331,574
22075,Yancey (AR-302),21.22,34.150181,-75.782939,575
23473,Schurz,0.1,34.186836,-76.601311,577
22067,U-352,0.01,34.228028,-76.564867,578
23531,HMS Bedfordshire,9.51,34.300172,-76.182958,580
17185,Papoose,1.86,34.313503000000004,-76.45313900000002,581
22412,USCGC Spar (AR-305),4.62,34.326833,-76.69965,583
17185,Papoose,6.95,34.380669,-76.36546700000002,584
23541,Malchace,23.32,34.383511,-75.58292800000002,585
24300,Portland,5.1,34.437111,-76.489919,586
22088,Tamaulipus - (Far East Tanker),7.19,34.466839,-75.932947,588
24300,Portland,0.04,34.492592,-76.42996099999998,589
23541,Malchace,13.96,34.500175,-75.666267,593
22086,W.E. Hutton,0.06,34.498994,-76.897856,594
22068,Atlas,0.1,34.5285,-76.242297,596
22088,Tamaulipus - (Far East Tanker),0.02,34.546558000000005,-76.013506,597
22445,Suloide,0.02,34.544789,-76.895011,598
24494,USS Aeolus,1.83,34.550947,-76.601283,599
24494,USS Aeolus,5.36,34.557331,-76.52714399999998,600
22074,Carbisea,0.03,34.606997,-76.314633,602
17087,Fenwick Island,4.91,34.619053,-76.543256,603
22074,Carbisea,1.8,34.630164,-76.3283,604
23541,Malchace,1.94,34.650172,-75.796272,605
23542,Manuela,1.8,34.683506,-75.816275,606
21183,Radio Island Rock Jetty,2.81,34.686044,-76.721586,607
21175,Tarpon,10.54,34.733508,-75.582931,610
16957,W.E. Hutton,17.82,34.736856,-77.440297,611
16957,W.E. Hutton,17.39,34.738578000000004,-77.43293299999998,612
16957,W.E. Hutton,17.27,34.740453,-77.430964,613
23460,Dixie Arrow,17.79,34.749678,-75.438117,614
21176,The Proteus,0.09,34.764061,-75.78349399999998,615
21172,Empire Gem,19.18,34.766844,-75.366253,616
17109,Tarpon,7.66,34.815169,-75.907947,618
17109,Tarpon,7.45,34.818225,-75.90378100000002,619
23460,Dixie Arrow,10.09,34.825175,-75.549594,621
21172,Empire Gem,15.77,34.833511,-75.33291700000002,623
21172,Empire Gem,13.85,34.850178,-75.366253,624
23460,Dixie Arrow,3.32,34.899617,-75.749606,625
17521,Proteus,1.4,34.989339,-75.801831,626
23539,Keshena,0.03,34.993783,-75.762383,627
23540,Liberator,21.7,35.000183,-74.999572,631
23540,Liberator,21.7,35.000183,-74.999572,632
23540,Liberator,7.36,35.026844,-75.29625,633
21172,Empire Gem,0.07,35.030456,-75.475978,634
23540,Liberator,8.64,35.030736,-75.249581,635
21172,Empire Gem,0.25,35.031708,-75.478703,636
16905,F.W. Abrams,2.42,35.055725,-76.005175,637
21172,Empire Gem,3.33,35.077633,-75.480853,638
23540,Liberator,3.87,35.078511,-75.394586,639
23540,Liberator,3.16,35.080178000000004,-75.33291700000002,640
23540,Liberator,3.55,35.081289,-75.389864,641
23540,Liberator,3.64,35.081383,-75.39263100000002,642
